brand_id,brand,p_id,name,price,colour,ratingCount,avg_rating
618.0,nayo,14709966.0,nayo women red floral printed kurta with trouser & dupatta,3699.0,red,4113.0,4.088986142
1007.0,zastraa,16109614.0,zastraa women black solid high-rise parallel trousers,2999.0,black,541.0,4.290203327
66.0,anayna,16596854.0,anayna women white palazzos,1799.0,white,48.0,4.166666667
951.0,vastranand,17150536.0,vastranand peach-coloured & multicoloured kalamkari sequinned linen blend block print saree,5555.0,peach,269.0,4.237918216
488.0,kvsfab,17405158.0,kvsfab charming maroon embroidered ready to wear lehenga choli with dupatta,8649.0,maroon,56.0,4.142857143
776.0,sangria,17449506.0,sangria beige & yellow ethnic motifs phulkari embroidered dupatta,3199.0,beige,12.0,3.333333333
125.0,berrylush,17535476.0,berrylush women gorgeous green printed nuovo sleeves shrug,999.0,green,17.0,3.764705882
156.0,buy new trend,17685324.0,buy new trend women blue lightweight denim jacket,1499.0,blue,109.0,3.981651376
903.0,tokyo talkies,17734680.0,tokyo talkies women beige solid single-breasted blazers,1399.0,beige,106.0,3.726415094
903.0,tokyo talkies,19068086.0,tokyo talkies women purple solid co-ords,1349.0,purple,7.0,4.857142857
750.0,roadster,5829327.0,roadster women coral pink solid hooded sweatshirt,1199.0,coral,13938.0,4.226287846
750.0,roadster,8593785.0,roadster burgundy top with front tie-up detail,599.0,maroon,5097.0,3.645085344
242.0,dupatta bazaar,10711448.0,dupatta bazaar women white solid dupatta,599.0,white,1531.0,4.536250816
38.0,ahika,11056154.0,ahika women black & green printed straight kurta,1350.0,black,21274.0,3.978377362
903.0,tokyo talkies,12033996.0,tokyo talkies women black solid basic jumpsuit,2149.0,black,1027.0,4.282375852
354.0,hangup,12692600.0,hangup women cream-coloured printed tailored jacket,1999.0,cream,3024.0,4.150793651
482.0,kotty,12808128.0,kotty women navy blue flared high-rise clean look jeans,1999.0,navy blue,5771.0,4.164269624
711.0,qomn,14182594.0,qomn pink printed pure cotton a-line top,1299.0,pink,396.0,4.348484848
551.0,marks & spencer,14776092.0,marks & spencer women green solid trousers,2999.0,green,67.0,4.611940299
903.0,tokyo talkies,14996638.0,tokyo talkies women black mid-rise regular shorts,899.0,black,272.0,4.367647059
509.0,libas,15258072.0,libas solid saree with border,3999.0,burgundy,290.0,4.351724138
801.0,shaily,16334128.0,shaily maroon embroidered pure cotton unstitched dress material,3059.0,maroon,15.0,4.2
804.0,shaye,16563320.0,women fuchsia pink printed longline shrug,2474.0,fuchsia,23.0,4.173913043
72.0,ani,16828316.0,ani women stunning blue printed top with palazzos,2999.0,blue,58.0,4.0
282.0,fabpixel,18743882.0,fabpixel red & gold-toned embroidered sequinned shibori semi-stitched lehenga & unstitched blouse with,9999.0,red,15.0,4.0
544.0,mango,18879820.0,mango women navy blue notched lapel solid single-breasted casual blazer,4790.0,navy blue,1172.0,4.087397208
353.0,h&m,19147754.0,h&m women white solid a-line mini skirts,1499.0,white,2329.0,4.174794416
230.0,dolce crudo,11035316.0,dolce crudo women blue skinny fit high-rise clean look stretchable jeans,2399.0,blue,3486.0,4.262191624
750.0,roadster,11987092.0,roadster women navy blue & green checked open front shrug,1299.0,navy blue,191.0,4.314136126
95.0,athena,13736998.0,athena white tie-up neck puff sleeves lace top,1699.0,white,2200.0,4.19
750.0,roadster,13757350.0,roadster women charcoal grey loose fit high-rise denim shorts,1299.0,charcoal,240.0,4.254166667
783.0,sassafras,13935928.0,sassafras sea green and black colourblocked smocked jumpsuit,1999.0,sea green,607.0,4.425041186
