brand,colour,avg_rating
kalini,coral,4.164383562
h&m,brown,4.662068966
sangria,green,3.62962963
pspeaches,pink,3.904601572
mango,green,4.179573513
montrez,olive,4.454545455
kvsfab,pink,4.299704361
roadster,blue,4.144863267
tokyo talkies,black,4.163624921
tokyo talkies,pink,4.451145959
tokyo talkies,beige,4.328877005
anouk,navy blue,4.231191653
hrx by hrithik roshan,olive,3.671974522
all about you,pink,3.977777778
anouk,peach,4.207964602
biba,taupe,4.875
sangria,mustard,4.666666667
sassafras,pink,4.185185185
united liberty,green,4.338709677
h&m,brown,4.365896648
biba,yellow,4.393083619
shopgarb,gold,4.420270589
oxolloxo,navy blue,4.44745756
wisstler,beige,4.474644531
sassafras,navy blue,4.501831502
dressberry,olive,4.104166667
sera,off white,3.991285403
vishudh,rust,4.171206226
anouk,navy blue,4.181818182
taavi,off white,4.727272727
saree mall,red,3.959601874
shewill,navy blue,4.37037037
mast & harbour,blue,4.224160686
paris hamilton,black,4.077951002
ani,pink,4.086956522
h&m,green,4.325
sera,pink,4.234375
berrylush,blue,4.428571429
akimia,black,4.404427233
shewill,maroon,4.380283037
tokyo talkies,blue,4.356138841
anayna,black,4.331994645
rute,black,3.959677419
bhama couture,blue,4.268493151
sassafras,green,4.307320998
blissta,mustard,4.209302326
stylestone,white,4.3
mast & harbour,orange,4.235294118
varanga,yellow,4.057426836
anouk,green,4.154185022
urbanic,beige,3.875
vero moda,white,4.198369565
h&m,brown,4.52173913
anti culture,pink,3.903225806
aahwan,black,4.473684211
tokyo talkies,green,4.314910406
max,yellow,4.156136601
the magic wand,red,3.997362795
bhama couture,black,3.83858899
ahika,green,4.093285653
roadster,mustard,4.300225734
door74,black,3.483394834
veni vidi vici,red,4.399253731
pluss,purple,4.266958425
piccolo,red,4.241935484
mango,blue,4.241758242
ani,pink,3.96
wisstler,grey melange,4.416666667
sangria,white,4.571969697
angel & rocket,multi,4.727272727
bostreet,white,4.590876612
alaya by stage3,green,4.454480496
bostreet,black,4.318084381
satrani,pink,4.181688265
zainab chottani,blue,4.04529215
rare,black,3.908896034
anubhutee,navy blue,4.285094067
roadster,blue,4.53115727
hrx by hrithik roshan,black,3.510869565
sassafras,mauve,4.083743842
sassafras,navy blue,4.209018568
anouk,black,4.370165746
lilpicks,maroon,4.283783784
roadster,mauve,4.392720307
mango,off white,4.172222223
mitera,gold,3.951724138
biba,navy blue,3.981749941
dupatta bazaar,orange,4.011775745
urbanic,purple,4.041801548
delan,grey,4.071827352
h&m,multi,4.101853155
fame forever by lifestyle,navy blue,4.131878959
bhama couture,white,4.161904762
orchid blues,olive,4.163286531
mitera,navy blue,4.432692308
style quotient,multi,4.43163309
sassafras,blue,4.117647059
miss chase,teal,4.044444444
h&m,black,4.481595092
mast & harbour,navy blue,4.328656971
kalini,green,4.17571885
roadster,blue,4.6
puma,brown,4.531031064
pashtush,beige,4.462062128
harpa,black,4.393093192
indya,black,4.324124256
tokyo talkies,magenta,4.255155321
charu,navy blue,4.186186385
kvsfab,green,4.117217449
sassafras,maroon,4.048248513
here&now,lime green,4.280701754
here&now,olive,4.8
mitera,pink,3.826737968
libas,blue,4.338235294
max,green,4.517241379
myshka,off white,4.042253521
roadster,grey,4.121126761
all about you,rust,4.2
street 9,green,4.25
h&m,grey melange,4.220930233
montrez,blue,4.191860465
kiroshe by kiran,black,4.162790698
h&m,blue,4.13372093
styli,pink,4.104651163
fashion basket,black,4.075581395
morly,beige,4.046511628
bhama couture,white,4.01744186
pluss,blue,4.278657968
miss chase,black,4.226133333
dupatta bazaar,maroon,4.245762712
roadster,lavender,4.429149798
jaipuri bunaai,blue,4.044416244
house of pataudi,red,4.37254902
tokyo talkies,green,3.591836735
anouk,red,3.818181818
street 9,black,3.75
biba,orange,3.836372494
montrez,blue,3.922744989
bostreet,beige,4.009117483
urbanic,olive,4.095489978
malachi,blue,4.181862472
puma,pink,4.268234966
ayaany,sea green,4.354607461
shaily,pink,4.440979955
roadster,blue,4.536094675
high star,black,4.341365462
roadster,green,4.401869159
pluss,orange,4.400696864
libas,teal,4.223880597
sassafras,black,3.690607735
sassafras,white,4.866666667
dressberry,orange,4.277777778
house of pataudi,olive,4.5
kalini,sea green,3.94214876
house of pataudi,pink,4.333333333
forever new,white,4.266666667
h&m,white,4.2
next one,black,4.4
kvsfab,off white,4.281818182
bostreet,navy blue,4.163636363
anouk,red,4.045454545
tokyo talkies,blue,4.247524752
tokyo talkies,brown,3.979626486
roadster,navy blue,4.471962617
roadster,off white,4.095975232
